Value,Label,Active,Default
"INVDIVDIV","INVDIVDIV","true","false"
"INVSITESITE","INVSITESITE","true","false"
"INVPROJPROJ","INVPROJPROJ","true","false"
"INVLOCLOC","INVLOCLOC","true","false"
